iter	Passed	Remaining
0	169	169784
1	179	89377
2	188	62679
3	198	49476
4	208	41406
5	220	36572
6	229	32574
7	242	30076
8	251	27672
9	261	25880
10	271	24369
11	280	23082
12	293	22287
13	302	21328
14	317	20830
15	326	20090
16	335	19413
17	345	18828
18	354	18320
19	364	17877
20	379	17709
21	400	17798
22	413	17552
23	425	17290
24	438	17093
25	454	17033
26	470	16959
27	481	16723
28	497	16649
29	512	16571
30	528	16522
31	542	16405
32	562	16492
33	574	16336
34	588	16235
35	598	16024
36	610	15885
37	623	15773
38	633	15618
39	649	15591
40	659	15426
41	673	15367
42	683	15213
43	692	15053
44	706	14999
45	718	14910
46	730	14803
47	744	14760
48	753	14626
49	763	14506
50	777	14465
51	786	14347
52	800	14302
53	810	14197
54	820	14089
55	828	13970
56	842	13942
57	852	13847
58	861	13732
59	869	13625
60	879	13545
61	893	13519
62	911	13552
63	922	13491
64	932	13406
65	945	13384
66	955	13302
67	966	13240
68	978	13196
69	989	13152
70	998	13066
71	1008	12997
72	1018	12937
73	1037	12979
74	1048	12935
75	1061	12908
76	1078	12930
77	1091	12900
78	1102	12849
79	1113	12799
80	1123	12751
81	1139	12751
82	1149	12703
83	1167	12734
84	1178	12684
85	1191	12658
86	1202	12616
87	1212	12564
88	1226	12557
89	1236	12504
90	1248	12472
91	1258	12416
92	1267	12362
93	1281	12355
94	1294	12331
95	1306	12300
96	1316	12251
97	1338	12318
98	1352	12305
99	1361	12255
100	1374	12235
101	1386	12207
102	1401	12206
103	1411	12156
104	1420	12112
105	1435	12108
106	1445	12061
107	1455	12018
108	1469	12014
109	1479	11970
110	1489	11929
111	1503	11917
112	1513	11877
113	1528	11880
114	1538	11840
115	1548	11798
116	1557	11756
117	1572	11754
118	1581	11711
119	1596	11709
120	1607	11674
121	1616	11635
122	1628	11613
123	1645	11623
124	1656	11593
125	1673	11609
126	1683	11575
127	1701	11590
128	1712	11563
129	1726	11551
130	1738	11535
131	1756	11550
132	1774	11565
133	1786	11542
134	1797	11519
135	1812	11516
136	1828	11519
137	1843	11516
138	1861	11530
139	1871	11497
140	1884	11479
141	1895	11453
142	1911	11456
143	1923	11433
144	1937	11426
145	1949	11403
146	1960	11376
147	1971	11347
148	1980	11310
149	1996	11312
150	2006	11282
151	2026	11303
152	2037	11276
153	2049	11261
154	2059	11225
155	2068	11190
156	2080	11168
157	2089	11133
158	2102	11118
159	2111	11084
160	2120	11050
161	2134	11040
162	2143	11005
163	2153	10976
164	2162	10942
165	2171	10911
166	2185	10900
167	2194	10869
168	2209	10865
169	2219	10836
170	2232	10821
171	2242	10795
172	2252	10767
173	2265	10755
174	2277	10735
175	2295	10748
176	2307	10727
177	2324	10732
178	2336	10715
179	2355	10731
180	2376	10752
181	2392	10755
182	2404	10735
183	2426	10759
184	2443	10766
185	2459	10761
186	2475	10760
187	2488	10747
188	2500	10728
189	2514	10720
190	2526	10701
191	2540	10691
192	2553	10676
193	2563	10650
194	2574	10628
195	2591	10629
196	2611	10644
197	2625	10635
198	2641	10633
199	2651	10606
200	2663	10587
201	2673	10562
202	2686	10546
203	2697	10524
204	2706	10496
205	2717	10475
206	2727	10448
207	2737	10424
208	2747	10397
209	2756	10369
210	2772	10366
211	2781	10340
212	2793	10321
213	2803	10296
214	2817	10288
215	2833	10284
216	2852	10291
217	2864	10276
218	2883	10284
219	2899	10279
220	2911	10263
221	2923	10245
222	2944	10260
223	2962	10263
224	2972	10240
225	2985	10223
226	2994	10197
227	3003	10168
228	3012	10140
229	3024	10125
230	3034	10100
231	3048	10090
232	3057	10066
233	3069	10046
234	3079	10024
235	3097	10028
236	3119	10044
237	3134	10035
238	3147	10021
239	3158	10002
240	3174	9997
241	3188	9987
242	3199	9968
243	3213	9956
244	3226	9943
245	3240	9932
246	3264	9950
247	3281	9950
248	3291	9926
249	3305	9917
250	3321	9910
251	3333	9893
252	3343	9872
253	3356	9858
254	3365	9832
255	3374	9807
256	3385	9787
257	3394	9763
258	3405	9743
259	3414	9718
260	3427	9705
261	3445	9705
262	3456	9686
263	3467	9668
264	3478	9647
265	3491	9633
266	3500	9609
267	3510	9587
268	3521	9569
269	3530	9546
270	3543	9531
271	3555	9516
272	3570	9508
273	3579	9485
274	3595	9479
275	3606	9460
276	3622	9455
277	3632	9432
278	3645	9421
279	3656	9401
280	3669	9390
281	3679	9367
282	3688	9344
283	3698	9324
284	3707	9302
285	3717	9281
286	3736	9282
287	3760	9296
288	3790	9324
289	3821	9357
290	3991	9725
291	4010	9723
292	4024	9711
293	4039	9699
294	4048	9675
295	4061	9659
296	4070	9635
297	4083	9619
298	4093	9595
299	4102	9572
300	4116	9559
301	4126	9537
302	4135	9514
303	4145	9491
304	4154	9467
305	4166	9449
306	4175	9425
307	4188	9410
308	4200	9393
309	4211	9373
310	4221	9352
311	4243	9356
312	4255	9339
313	4272	9334
314	4286	9321
315	4305	9319
316	4315	9297
317	4327	9281
318	4337	9259
319	4346	9236
320	4358	9220
321	4368	9198
322	4382	9185
323	4391	9163
324	4401	9142
325	4411	9120
326	4420	9098
327	4430	9076
328	4444	9064
329	4453	9042
330	4467	9028
331	4476	9006
332	4484	8983
333	4499	8971
334	4509	8951
335	4520	8932
336	4534	8920
337	4555	8921
338	4573	8917
339	4592	8913
340	4606	8901
341	4616	8881
342	4627	8863
343	4638	8845
344	4650	8828
345	4671	8829
346	4684	8816
347	4698	8803
348	4718	8801
349	4734	8793
350	4746	8777
351	4758	8760
352	4777	8755
353	4787	8736
354	4798	8718
355	4809	8701
356	4821	8684
357	4836	8672
358	4846	8653
359	4859	8639
360	4869	8619
361	4880	8601
362	4889	8580
363	4903	8568
364	4915	8551
365	4927	8535
366	4938	8517
367	4949	8499
368	4959	8480
369	4968	8459
370	4981	8446
371	4991	8426
372	5004	8412
373	5015	8394
374	5024	8374
375	5035	8356
376	5044	8335
377	5056	8320
378	5065	8300
379	5075	8281
380	5085	8261
381	5095	8243
382	5106	8227
383	5117	8209
384	5132	8198
385	5144	8183
386	5154	8164
387	5166	8149
388	5175	8128
389	5183	8107
390	5192	8087
391	5201	8067
392	5210	8047
393	5225	8037
394	5235	8019
395	5248	8004
396	5257	7985
397	5267	7967
398	5278	7951
399	5288	7933
400	5303	7922
401	5318	7911
402	5327	7892
403	5336	7873
404	5347	7856
405	5356	7837
406	5369	7822
407	5378	7804
408	5388	7786
409	5398	7767
410	5407	7749
411	5416	7730
412	5432	7721
413	5447	7710
414	5456	7691
415	5464	7671
416	5473	7651
417	5481	7632
418	5489	7612
419	5503	7599
420	5512	7580
421	5525	7568
422	5535	7550
423	5543	7531
424	5554	7514
425	5563	7496
426	5574	7480
427	5583	7462
428	5594	7446
429	5605	7430
430	5614	7412
431	5627	7399
432	5638	7383
433	5650	7369
434	5667	7360
435	5684	7353
436	5695	7337
437	5707	7323
438	5718	7307
439	5727	7289
440	5740	7276
441	5750	7259
442	5764	7248
443	5774	7230
444	5782	7212
445	5794	7197
446	5804	7180
447	5813	7162
448	5824	7147
449	5834	7131
450	5845	7115
451	5857	7101
452	5868	7086
453	5884	7077
454	5893	7059
455	5903	7042
456	5911	7024
457	5920	7006
458	5932	6992
459	5942	6976
460	5953	6960
461	5965	6947
462	5974	6929
463	5983	6912
464	5996	6899
465	6005	6882
466	6015	6865
467	6024	6848
468	6033	6831
469	6043	6814
470	6052	6797
471	6065	6785
472	6075	6768
473	6096	6765
474	6107	6750
475	6117	6734
476	6127	6718
477	6143	6709
478	6152	6692
479	6163	6677
480	6172	6660
481	6184	6646
482	6194	6630
483	6203	6613
484	6215	6599
485	6224	6583
486	6234	6567
487	6248	6556
488	6259	6541
489	6274	6530
490	6283	6513
491	6293	6498
492	6302	6481
493	6312	6466
494	6326	6454
495	6337	6439
496	6352	6429
497	6362	6413
498	6372	6397
499	6381	6381
500	6391	6365
501	6400	6349
502	6413	6337
503	6423	6321
504	6436	6309
505	6448	6295
506	6460	6282
507	6470	6266
508	6485	6256
509	6495	6240
510	6507	6227
511	6517	6212
512	6528	6197
513	6543	6187
514	6558	6176
515	6568	6161
516	6583	6150
517	6593	6135
518	6605	6121
519	6620	6111
520	6630	6095
521	6642	6082
522	6652	6067
523	6661	6051
524	6674	6039
525	6684	6023
526	6694	6008
527	6704	5993
528	6715	5978
529	6728	5967
530	6738	5952
531	6754	5942
532	6764	5926
533	6776	5913
534	6785	5897
535	6794	5881
536	6805	5867
537	6815	5852
538	6828	5839
539	6840	5826
540	6852	5814
541	6866	5802
542	6876	5787
543	6886	5772
544	6895	5756
545	6904	5741
546	6917	5728
547	6927	5714
548	6941	5702
549	6950	5686
550	6960	5672
551	6970	5657
552	6980	5642
553	6989	5627
554	7002	5614
555	7021	5607
556	7031	5592
557	7041	5577
558	7051	5563
559	7064	5550
560	7074	5535
561	7083	5520
562	7092	5505
563	7102	5490
564	7115	5478
565	7124	5463
566	7138	5451
567	7147	5435
568	7156	5421
569	7170	5409
570	7198	5408
571	7220	5402
572	7246	5399
573	7262	5390
574	7276	5378
575	7292	5367
576	7309	5358
577	7321	5345
578	7331	5331
579	7345	5318
580	7354	5304
581	7365	5289
582	7374	5274
583	7383	5259
584	7395	5246
585	7405	5231
586	7418	5219
587	7426	5203
588	7435	5188
589	7446	5174
590	7455	5159
591	7464	5144
592	7473	5129
593	7481	5113
594	7490	5098
595	7506	5088
596	7515	5073
597	7532	5063
598	7540	5048
599	7549	5033
600	7558	5018
601	7567	5003
602	7576	4988
603	7592	4978
604	7605	4965
605	7615	4951
606	7623	4935
607	7631	4920
608	7645	4908
609	7654	4893
610	7664	4879
611	7673	4864
612	7684	4851
613	7694	4837
614	7704	4822
615	7715	4809
616	7724	4794
617	7736	4782
618	7744	4767
619	7754	4752
620	7763	4737
621	7771	4723
622	7780	4708
623	7793	4695
624	7811	4687
625	7820	4672
626	7830	4658
627	7839	4643
628	7847	4628
629	7856	4614
630	7868	4601
631	7877	4586
632	7890	4574
633	7898	4559
634	7907	4545
635	7918	4531
636	7927	4517
637	7936	4503
638	7945	4489
639	7954	4474
640	7969	4463
641	7978	4448
642	7989	4436
643	7998	4421
644	8009	4408
645	8024	4397
646	8034	4383
647	8047	4371
648	8056	4356
649	8065	4342
650	8077	4330
651	8086	4315
652	8096	4302
653	8105	4288
654	8117	4275
655	8126	4261
656	8135	4247
657	8146	4234
658	8155	4220
659	8165	4206
660	8178	4194
661	8187	4180
662	8199	4167
663	8210	4154
664	8222	4142
665	8231	4128
666	8240	4114
667	8252	4101
668	8263	4088
669	8276	4076
670	8285	4062
671	8294	4048
672	8303	4034
673	8313	4021
674	8322	4006
675	8334	3994
676	8343	3980
677	8353	3967
678	8361	3953
679	8370	3939
680	8382	3926
681	8392	3913
682	8405	3901
683	8414	3887
684	8422	3873
685	8434	3860
686	8442	3846
687	8454	3834
688	8463	3820
689	8471	3806
690	8486	3794
691	8495	3781
692	8503	3767
693	8516	3755
694	8526	3741
695	8535	3728
696	8544	3714
697	8557	3702
698	8566	3688
699	8594	3683
700	8603	3669
701	8612	3656
702	8620	3642
703	8629	3628
704	8640	3615
705	8656	3604
706	8666	3591
707	8678	3579
708	8687	3565
709	8697	3552
710	8706	3538
711	8715	3525
712	8729	3513
713	8737	3499
714	8749	3487
715	8758	3474
716	8767	3460
717	8780	3448
718	8789	3434
719	8799	3421
720	8807	3408
721	8817	3394
722	8827	3381
723	8836	3368
724	8844	3354
725	8856	3342
726	8864	3328
727	8876	3316
728	8885	3303
729	8893	3289
730	8904	3276
731	8913	3263
732	8921	3249
733	8932	3237
734	8941	3223
735	8950	3210
736	8964	3199
737	8974	3185
738	8982	3172
739	8991	3159
740	9002	3146
741	9011	3133
742	9020	3120
743	9030	3107
744	9038	3093
745	9047	3080
746	9059	3068
747	9069	3055
748	9078	3042
749	9087	3029
750	9095	3015
751	9104	3002
752	9113	2989
753	9125	2977
754	9134	2964
755	9146	2952
756	9157	2939
757	9166	2926
758	9182	2915
759	9192	2903
760	9203	2890
761	9212	2877
762	9221	2864
763	9230	2851
764	9242	2839
765	9251	2826
766	9264	2814
767	9273	2801
768	9282	2788
769	9294	2776
770	9303	2763
771	9313	2750
772	9322	2737
773	9332	2725
774	9341	2711
775	9350	2699
776	9358	2686
777	9370	2673
778	9379	2660
779	9391	2649
780	9400	2635
781	9411	2623
782	9419	2610
783	9428	2597
784	9437	2584
785	9446	2571
786	9455	2559
787	9470	2547
788	9481	2535
789	9489	2522
790	9500	2510
791	9509	2497
792	9518	2484
793	9527	2471
794	9536	2459
795	9544	2446
796	9556	2434
797	9567	2421
798	9576	2408
799	9587	2396
800	9596	2384
801	9605	2371
802	9613	2358
803	9622	2345
804	9633	2333
805	9644	2321
806	9662	2310
807	9672	2298
808	9681	2285
809	9695	2274
810	9705	2261
811	9716	2249
812	9725	2236
813	9739	2225
814	9748	2212
815	9758	2200
816	9767	2187
817	9777	2175
818	9791	2163
819	9802	2151
820	9818	2140
821	9827	2128
822	9839	2116
823	9848	2103
824	9862	2092
825	9872	2079
826	9881	2067
827	9890	2054
828	9900	2042
829	9914	2030
830	9923	2018
831	9932	2005
832	9945	1993
833	9955	1981
834	9964	1969
835	9980	1957
836	9992	1945
837	10000	1933
838	10012	1921
839	10022	1909
840	10032	1896
841	10043	1884
842	10053	1872
843	10062	1859
844	10071	1847
845	10080	1834
846	10089	1822
847	10098	1810
848	10124	1800
849	10149	1791
850	10173	1781
851	10187	1769
852	10200	1757
853	10209	1745
854	10223	1733
855	10239	1722
856	10248	1710
857	10258	1697
858	10268	1685
859	10285	1674
860	10298	1662
861	10307	1650
862	10316	1637
863	10328	1625
864	10341	1614
865	10350	1601
866	10359	1589
867	10372	1577
868	10380	1564
869	10390	1552
870	10399	1540
871	10409	1527
872	10421	1516
873	10431	1503
874	10439	1491
875	10452	1479
876	10461	1467
877	10471	1454
878	10479	1442
879	10488	1430
880	10501	1418
881	10510	1406
882	10521	1394
883	10531	1381
884	10539	1369
885	10551	1357
886	10559	1345
887	10568	1332
888	10578	1320
889	10587	1308
890	10601	1296
891	10609	1284
892	10618	1272
893	10630	1260
894	10639	1248
895	10651	1236
896	10660	1224
897	10670	1212
898	10679	1199
899	10688	1187
900	10700	1175
901	10709	1163
902	10718	1151
903	10743	1140
904	10754	1128
905	10763	1116
906	10775	1104
907	10784	1092
908	10793	1080
909	10807	1068
910	10815	1056
911	10824	1044
912	10835	1032
913	10846	1020
914	10859	1008
915	10870	996
916	10881	984
917	10889	972
918	10898	960
919	10911	948
920	10919	936
921	10931	924
922	10940	912
923	10949	900
924	10962	888
925	10971	876
926	10980	864
927	10989	852
928	10997	840
929	11010	828
930	11026	817
931	11035	805
932	11046	793
933	11055	781
934	11064	769
935	11077	757
936	11088	745
937	11096	733
938	11105	721
939	11114	709
940	11125	697
941	11143	686
942	11156	674
943	11165	662
944	11174	650
945	11183	638
946	11192	626
947	11204	614
948	11216	602
949	11234	591
950	11242	579
951	11251	567
952	11262	555
953	11273	543
954	11282	531
955	11291	519
956	11301	507
957	11311	495
958	11321	484
959	11333	472
960	11342	460
961	11354	448
962	11363	436
963	11372	424
964	11381	412
965	11390	400
966	11411	389
967	11420	377
968	11432	365
969	11441	353
970	11454	342
971	11465	330
972	11475	318
973	11487	306
974	11496	294
975	11506	282
976	11515	271
977	11523	259
978	11538	247
979	11547	235
980	11563	223
981	11572	212
982	11581	200
983	11593	188
984	11602	176
985	11611	164
986	11621	153
987	11631	141
988	11641	129
989	11650	117
990	11659	105
991	11668	94
992	11684	82
993	11699	70
994	11712	58
995	11721	47
996	11730	35
997	11740	23
998	11748	11
999	11761	0
